exp_id;peak_id;year;season;host;route1;route2;route3;route4;nation;leaders;sponsor;success1;success2;success3;success4;ascent1;ascent2;ascent3;ascent4;claimed;disputed;countries;approach;bc_date;summit_date;summit_time;summit_days;tot_days;term_date;term_reason;term_note;high_point;traverse;ski;parapente;camps;rope;tot_members;summit_members;summiter_deaths;tot_hired;summit_hired;hired_deaths;no_hired;o2_used;o2_none;o2_climb;o2_descent;o2_sleep;o2_medical;o2_taken;o2_unkwn;other_smts;campsites;accidents;achievment;agency;comrte;stdrte;primrte;primmem;primref;primid;chksum;peak_name;peak_height
AMAD10109;AMAD;2010;1;1;SW Ridge;;;;France;Thierry Bonhomme;Ethnic Himalaya Expedition to Ama Dablam;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;Phakding->Namche->Tengboche->Pangboche;17-04-10;27-04-10;;10;13;30-04-10;8;Abandoned at 6300m due to no fixed ropes, snowfall;6300;FALSE;FALSE;FALSE;2;0;2;0;0;1;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(17/04,4600m),ABC(19/04,5500m),C2(20/04,6000m),xxx(27/04,6300m);;;Dhan Prasad Gurung (Himalayan Guides pmt);TRUE;FALSE;FALSE;FALSE;FALSE;;2459979;Ama Dablam;6814
AMAD10110;AMAD;2010;1;1;SW Ridge;;;;Switzerland;Roger Fleming;Swiss-German Duo to Ama Dablam;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;Germany;Phakding->Namche->Island Peak BC->Chhukung;21-04-10;26-04-10;;5;10;01-05-10;5;Abandoned at 6500m due to icefall and rockfall (route was all ice);6500;FALSE;FALSE;FALSE;2;0;2;0;0;2;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Climbed Island Peak by all on 18 April;BC(21/04,4700m),C1(23/04,5800m),C2(24/04,6100m),xxx(26/04,6500m);;;Matterhorn Treks (Himalayan Guides pmt);TRUE;FALSE;FALSE;FALSE;FALSE;;2459978;Ama Dablam;6814
AMAD10111;AMAD;2010;1;1;SW Ridge;;;;France;Alexandre Du Sartel;Mr. Duss on Ama Dablam;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;;14-04-10;23-04-10;;9;11;25-04-10;8;Abandoned at 6300m due to Sherpas were instructed by their agency not to put fix rope above C2;6300;FALSE;FALSE;FALSE;2;0;1;0;0;1;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(14/04,4650m),C1(16/04,5600m),C2(19/04,6200m),xxx(23/04,6300m);;;Himalayan Guides permit;TRUE;FALSE;FALSE;FALSE;FALSE;;2459975;Ama Dablam;6814
ANN110101;ANN1;2010;1;1;N Face;;;;Italy;Frank Gasser;;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;Pokhara to Tatopani by helicopter->Tatopani to BC;16-04-10;28-04-10;;12;15;01-05-10;7;Abandoned at 5500m due to stomach problem, gas;5500;FALSE;FALSE;FALSE;2;0;1;0;0;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(16/04,4200m),C1(17/04,5000m),C2(20/04,5500m),xxx(28/04,5500m);;;Thamserku Trekking;FALSE;TRUE;FALSE;FALSE;FALSE;;2460295;Annapurna I;8091
ANN110102;ANN1;2010;1;1;N Face;;;;Spain;Edurne Pasaban;14 X 8000 Annapurna & Sishapangma Expedition;TRUE;FALSE;FALSE;FALSE;51st;;;;FALSE;FALSE;;;15-03-10;17-04-10;1330;33;37;21-04-10;1;;8091;FALSE;FALSE;FALSE;4;1800;6;4;0;4;3;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(15/03,4200m),C1(17/03,5000m),C2(20/03,5600m),C3(29/03,6400m),C4(16/04,7100m),Smt(17/04);Latorre's accident;;Thamserku Trekking;FALSE;TRUE;FALSE;FALSE;FALSE;;2460284;Annapurna I;8091
ANN110103;ANN1;2010;1;1;N Face;;;;USA;Nick Rice;Nick Rice on Annapurna;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;;05-04-10;21-04-10;;16;26;01-05-10;6;Abandoned at 6250m due to injuries suffered from falling ice;6250;FALSE;FALSE;FALSE;2;0;1;0;0;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(05/04,4200m),C1(14/04,4870m),C2(15/04,5565m),xxx(21/04,6250m);Rice hit by falling ice (stomach trouble earlier);;Cho Oyu Trekking;FALSE;TRUE;FALSE;FALSE;FALSE;;2460288;Annapurna I;8091
ANN110104;ANN1;2010;1;1;N Face (east of Dutch Rib);;;;Spain;Carlos Pauner;Spanish Annapurna I Expedition;TRUE;FALSE;FALSE;FALSE;54th;;;;FALSE;FALSE;;;30-03-10;27-04-10;1600;28;33;02-05-10;1;;8091;FALSE;FALSE;FALSE;4;200;6;3;1;2;2;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(30/03,4200m),C1(03/04,5000m),C2(04/04,5500m),C3(14/04,6500m),C4(26/04,6950m),Smt(27/04);;;Thamserku Trekking;FALSE;TRUE;FALSE;FALSE;FALSE;;2460294;Annapurna I;8091
ANN110105;ANN1;2010;1;1;N Face;;;;S Korea;Oh Eun-Sun;2010 Oh's Annapurna Expedition;TRUE;FALSE;FALSE;FALSE;53rd;;;;FALSE;FALSE;;;04-04-10;27-04-10;1500;23;27;01-05-10;1;;8091;FALSE;FALSE;FALSE;4;400;7;3;0;7;3;0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(04/04,4100m),C1(07/04,5100m),C2(17/04,5600m),C3(23/04,6400m),C4(26/04,6500m),Smt(27/04);;Miss Oh's 14th 8000er;Korean Treks & Expeditions;FALSE;TRUE;FALSE;FALSE;FALSE;;2460294;Annapurna I;8091
ANN110106;ANN1;2010;1;1;S Face;;;;S Korea;Park Young-Seok;2010's Park's Annapurna South Face Expedition;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;;29-03-10;12-04-10;;14;47;15-05-10;4;Abandoned at 6100m due to continuous bad weather;6100;FALSE;FALSE;FALSE;0;0;5;0;0;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(29/03,4250m),ABC(07/04,5150m),xxx(12/04,6100m);Kang's injured knee;;Villa Everest;FALSE;FALSE;FALSE;FALSE;FALSE;;2460279;Annapurna I;8091
ANN110107;ANN1;2010;1;1;N Face;;;;Iran;Amir Hossein Partovinia;Iranian to Annapurna I;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;Beni;09-04-10;13-04-10;;4;37;16-05-10;5;Abandoned at 6370m due to dangerous avalanche conditions;6370;FALSE;FALSE;FALSE;3;200;1;0;0;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(09/04,4025m),C1(11/04,5200m),C2(12/04,5750m),C3(13/04,6770m),xxx(13/04,6370m);Avalanche, bruised body;;Prestige Adventure;FALSE;TRUE;FALSE;FALSE;FALSE;;2460280;Annapurna I;8091
ANN110108;ANN1;2010;1;1;N Face via different lines above C4;;;;Poland;Piotr Pustelnik;International Expedition to Pumori & Annapurna I;TRUE;FALSE;FALSE;FALSE;51st,52nd;;;;FALSE;FALSE;Portugal, Romania, Russia, Slovakia, Spain;;10-04-10;17-04-10;1330;7;21;01-05-10;1;;8091;FALSE;FALSE;FALSE;0;0;9;7;0;0;0;0;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;Attempted Pumori (PUMO-101-03);BC(10/04,4200m),C1(5200m),C2(5600m),C3(6400m),C4(6970m),Smt(17,27/04);;;Cho Oyu Trekking;FALSE;TRUE;FALSE;FALSE;FALSE;;2460284;Annapurna I;8091
ANN110109;ANN1;2010;1;1;N Face (German route);;;;Ecuador;Santiago Quintero;Ecuadorian Annapurna Expedition;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;"Kathmandu->Pokhara by car; Pokhara->BC by helicopter";16-04-10;25-04-10;;9;31;17-05-10;7;Abandoned at 6550m due to Quintero's knee problem;6550;FALSE;FALSE;FALSE;3;50;1;0;0;1;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(16/04,4400m),C1(17/04,5000m),C2(17/04,5600m),C3(23/04,6550m),xxx(25/04,6550m);;;Thamserku Trekking;FALSE;TRUE;FALSE;FALSE;FALSE;;2460292;Annapurna I;8091
ANN310101;ANN3;2010;1;1;SE Ridge;;;;UK;Nick Bullock;British Annapurna III Southeast Ridge Expedition;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;;  -   -;  -   -;;0;0;  -   -;11;;0;FALSE;FALSE;FALSE;0;0;2;0;0;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;Loben Expeditions;FALSE;FALSE;FALSE;FALSE;FALSE;;5070;Annapurna III;7555
APIM10101;APIM;2010;1;1;NW Ridge;;;;Switzerland;Diego Wellig;Swiss Api Himal Expedition;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;;18-04-10;01-05-10;;13;16;04-05-10;4;Abandoned at 6500m due to bad weather;6500;FALSE;FALSE;FALSE;2;350;3;0;0;4;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(18/04,4300m),C1(21/04,5300m),C2(26/04,6050m),xxx(01/05,6500m);;;Active Holiday Nepal Treks;FALSE;FALSE;FALSE;FALSE;FALSE;;2460433;Api Main;7132
BARU10101;BARU;2010;1;1;SE Ridge;;;;USA;Ben Clark;Ski the Himalayas;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;;22-04-10;25-04-10;;3;10;02-05-10;6;Abandoned at 6250m due to Clark's accident;6240;FALSE;FALSE;FALSE;1;0;3;0;0;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(22/04,5420m),C1(25/04,6240m),xxx(25/04,6240m);;;Mountain Tribes Trekking;FALSE;FALSE;FALSE;FALSE;FALSE;;2460517;Baruntse;7152
BHRS10101;BHRS;2010;1;1;N Ridge;;;;France;Paulo Grobel;Tirawa Bhrikuti Expedition;TRUE;FALSE;FALSE;FALSE;3rd;;;;FALSE;FALSE;;;16-03-10;18-03-10;0800;2;3;19-03-10;1;;6361;FALSE;FALSE;FALSE;1;0;10;7;0;3;2;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(16/03,5450m),C1(17/03,5800m),Smt(18/03);;;Himalayan Society;FALSE;FALSE;FALSE;FALSE;FALSE;;2460524;Bhrikuti Shail;6361
BHRS10102;BHRS;2010;1;1;S Face;;;;Netherlands;Robert Eckhardt;Dutch Expedition to Bhrikuti Sail;TRUE;FALSE;FALSE;FALSE;4th,5th;;;;FALSE;FALSE;;Besisahar->Jagat->Koto->Meta->Junam->Phu->Ngaru;  -   -;15-05-10;1300;0;0;  -   -;1;;6361;FALSE;FALSE;FALSE;0;0;5;4;0;3;3;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Climbed Saribung;BC(5000m),ABC(5240m),Smt(15-16/05);;;Summit Nepal Trekking;FALSE;FALSE;FALSE;FALSE;FALSE;;2460582;Bhrikuti Shail;6361
CHOY10101;CHOY;2010;1;2;NW side;;;;Australia;Gregory Miller;;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;Zhangmu->Nyalam->Tingri;11-04-10;26-04-10;;15;28;09-05-10;7;Abandoned at 7200m due to stomach problems;7200;FALSE;FALSE;FALSE;1;0;1;0;0;1;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;BC(11/04,4900m),ABC(14/04,5500m),C1(18/04,6400m),xxx(26/04,7200m);;;Solukhumbu Treks/Asian Trekking;TRUE;TRUE;FALSE;FALSE;FALSE;;2460878;Cho Oyu;8188
CHOY10102;CHOY;2010;1;2;NW side;;;;Bulgaria;Rumen Metodiev;Bulgarian on Cho Oyu;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;Zhangmu->Nyalam->Tingri;11-04-10;22-04-10;;11;28;09-05-10;8;Abandoned at 6500m due to broken crampon;6500;FALSE;FALSE;FALSE;1;0;1;0;0;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(11/04,4900m),ABC(19/04,5500m),C1(20/04,6400m),xxx(22/04,6500m);;;Asian Trekking;TRUE;TRUE;FALSE;FALSE;FALSE;;2460874;Cho Oyu;8188
CHOY10103;CHOY;2010;1;2;NW side;;;;Canada;Sebastien La Pointe;Asian Trekking Everest North 2010;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;Zhangmu->Nyalam->Tingri;11-04-10;06-05-10;;25;28;09-05-10;8;Abandoned at 7500m due to no ropes fixed, ran out of time;7500;FALSE;FALSE;FALSE;2;0;2;0;0;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;BC(11/04,4900m),ABC(14/04,5500m),C1(20/04,6400m),C2(04/05,7100m),xxx(06/05,7500m);;;Asian Trekking;TRUE;TRUE;FALSE;FALSE;FALSE;;2460888;Cho Oyu;8188
CHOY10104;CHOY;2010;1;2;NW side;;;;Malaysia;Ravichandran Tharumalingam;Malaysian on Cho Oyu;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;Zhangmu->Nyalam->Tingri;11-04-10;03-05-10;;22;28;09-05-10;8;Abandoned at 7100m due to no ropes fixed above C3;7100;FALSE;FALSE;FALSE;1;0;1;0;0;1;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;BC(11/04,4900m),ABC(14/04,5500m),C1(20/04,6400m),xxx(03/05,7100m);;;Asian Trekking;TRUE;TRUE;FALSE;FALSE;FALSE;;2460885;Cho Oyu;8188
CHOY10105;CHOY;2010;1;2;NW side;;;;Argentina;Jorge Eduardo Gonzalez;Argentinians to Cho Oyu;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;Zhangmu->Nyalam->Tingri;13-04-10;28-04-10;;15;31;14-05-10;8;Abandoned at 7000m due to no fixed rope and bad weather forecast;7000;FALSE;FALSE;FALSE;2;0;2;0;0;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(13/04,4900m),ABC(16/04,5500m),C1(25/04,6400m),C2(28/04,7000m),xxx(28/04,7000m);;;Prestige Adventure;TRUE;TRUE;FALSE;FALSE;FALSE;;2460880;Cho Oyu;8188
CHOY10106;CHOY;2010;1;2;NW side;;;;Austria;Christian Schnoell;Austrian Cho Oyu Expedition 2010;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;Zhangmu->Nyalam->Tingri;23-04-10;04-05-10;;11;23;16-05-10;4;Abandoned at 7100m due to too much wind;7100;FALSE;FALSE;FALSE;1;0;5;0;0;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(23/04,4900m),ABC(26/04,5500m),C1(03/05,6400m),xxx(04/05,7100m);;;Asian Trekking;TRUE;TRUE;FALSE;FALSE;FALSE;;2460886;Cho Oyu;8188
CHOY10107;CHOY;2010;1;2;NW side;;;;Switzerland;Erwin Jacomet;Alpinus Cho Oyu Expedition;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;Germany;;19-04-10;30-04-10;;11;25;14-05-10;4;Abandoned at 7100m due to bad weather forecasts;7100;FALSE;FALSE;FALSE;2;0;5;0;0;1;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(19/04,5000m),ABC(22/04,5500m),C1(25/04,6400m),C2(30/04,7100m),xxx(30/04,7100m);;;Prestige Adventure;TRUE;TRUE;FALSE;FALSE;FALSE;;2460882;Cho Oyu;8188
CHOY10108;CHOY;2010;1;2;NW side;;;;Spain;Javier Bermejo;Aoiz Cho Oyu 2010;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;Kodari->Tingri;17-04-10;28-04-10;;11;27;14-05-10;4;Abandoned at 6800m due to bad weather;6800;FALSE;FALSE;FALSE;2;0;5;0;0;2;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(17/04,4900m),ABC(21/04,5500m),C1(26/04,6400m),C1.5(28/04,6800m),xxx(28/04,6800m);;;Thamserku Trekking;TRUE;TRUE;FALSE;FALSE;FALSE;;2460880;Cho Oyu;8188
CHOY10109;CHOY;2010;1;2;NW side;;;;USA;Eric Remza;International Mountain Guides (IMG) Cho Oyu Expedition 2010;TRUE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;Australia;;13-04-10;17-05-10;0800;34;26;09-05-10;1;;8188;FALSE;FALSE;FALSE;3;1400;8;2;0;2;2;0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(13/04,4724m),ABC(17/04,5639m),C1(22/04,6400m),C2(15/05,7040m),C3(16/05,7467m),Smt(17/05);;;Beyul Adventure;TRUE;TRUE;FALSE;FALSE;FALSE;;2460899;Cho Oyu;8188
CHOY10111;CHOY;2010;1;2;NW side;;;;Italy;Francisco Mich;Italian Cho Oyu Expedition;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;Switzerland;;25-04-10;17-05-10;;22;32;27-05-10;4;Abandoned at 8175m due to snowing bad weather;8175;FALSE;FALSE;FALSE;2;0;12;0;0;1;0;0;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;BC(25/04,4835m),ABC(25/04,5700m),C1(03/05,6440m),C2(16/05,7135m),xxx(17/05,8175m);"Fabrizio Defrancesco's cerebral edema; Fabrizio Bartoli ear problems";;Cho Oyu Trekking;TRUE;TRUE;FALSE;FALSE;FALSE;;2460899;Cho Oyu;8188
CHOY10112;CHOY;2010;1;2;NW side;;;;UK;Chris Szymiec;Adventure Peaks Cho Oyu Expedition 2010;TRUE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;Canada, Ireland, Luxembourg;;30-04-10;24-05-10;0700;24;27;27-05-10;1;;8188;FALSE;FALSE;FALSE;3;0;6;3;0;2;2;0;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;BC(30/04,4900m),ABC(03/05,5700m),C1(08/05,6400m),C2(11/05,7150m),C3(23/05,7500m),Smt(24/05);;;Himalayan Guides;TRUE;TRUE;FALSE;FALSE;FALSE;;2460906;Cho Oyu;8188
CHOY10113;CHOY;2010;1;2;NW side;;;;S Korea;Kim Jae-Soo;Colon Sport Cho Oyu-Annapurna Expedition;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;Zhangmu->Nyalam->Tingri;07-04-10;25-04-10;;18;20;27-04-10;4;Abandoned at 8000m due to high wind and snow;8000;FALSE;FALSE;FALSE;3;0;2;0;0;1;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Had permit for Annapurna I;BC(07/04,4500m),ABC(10/04,5700m),C1(14/04,6400m),C2(23/04,7100m),C3(24/04,7400m),xxx(25/04,8000m);Frostbite both members noses, Kim's two right toes and fingers (but not serious);;Windhorse Trekking;TRUE;TRUE;FALSE;FALSE;FALSE;;2460877;Cho Oyu;8188
CHOY10114;CHOY;2010;1;2;NW side;;;;UK;Maximo Kausch;SummitClimb International Cho Oyu Expedition 2010;TRUE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;Australia, Finland, USA;;30-04-10;24-05-10;1015;24;21;21-05-10;1;;8188;FALSE;FALSE;FALSE;3;70;5;2;0;3;2;0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(30/04),ABC(02/05,5700m),C1(06/05,6400m),C2(10/05,7100m),C3(23/05,7520m),Smt(24/05);;;Everest Parivar;TRUE;TRUE;FALSE;FALSE;FALSE;;2460906;Cho Oyu;8188
